,race_year_id,event,race,city,country,date,start_time,participation,distance,elevation_gain,elevation_loss,aid_stations,participants
0,68140.0,Peak District Ultras,Millstone 100,Castleton,United Kingdom,2021-09-03,19:00:00,solo,166.9,4520.0,-4520.0,10.0,150.0
1,72496.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,17:00:00,solo,170.7,9930.0,-9930.0,11.0,2300.0
2,69855.0,Grand Raid des Pyrénées,Ultra Tour 160,vielle-Aure,France,2021-08-20,05:00:00,solo,167.0,9980.0,-9980.0,13.0,600.0
3,67856.0,Persenk Ultra,PERSENK ULTRA,Asenovgrad,Bulgaria,2021-08-20,18:00:00,solo,164.0,7490.0,-7500.0,13.0,150.0
4,70469.0,Runfire Salt Lake Ultra,100 Mile,ulukisla,Turkey,2021-08-20,18:00:00,solo,159.9,100.0,-100.0,12.0,0.0
5,66887.0,Swiss Alps 100,160KM,Münster,Switzerland,2021-08-15,17:00:00,solo,159.9,9850.0,-9850.0,15.0,300.0
6,67851.0,Salomon Rondane 100,Salomon Rondane 100,Folldal,Norway,2021-08-14,07:00:00,solo,163.8,5460.0,-5460.0,5.0,0.0
7,68241.0,Ultra Trail des Sources,160KM,Spa,Belgium,2021-08-14,07:00:00,solo,163.9,4630.0,-4660.0,8.0,200.0
8,70241.0,Québec Mega Trail (QMT),QMT-100-MILE,Beaupre,Canada,2021-08-13,22:00:00,solo,158.9,6410.0,-6240.0,13.0,120.0
9,69945.0,Bunketorp Backyard Ultra Trail,BBUT - 24 loops,LINDOME,Sweden,2021-08-07,10:00:00,solo,163.7,3100.0,-3100.0,23.0,100.0
10,67218.0,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,2021-08-07,06:00:00,solo,165.2,3130.0,-3170.0,13.0,300.0
11,65713.0,Beacons 50 & Beacons 100,Beacons 100,Brecon,United Kingdom,2021-08-06,20:00:00,solo,164.8,7050.0,-7050.0,5.0,50.0
12,66425.0,Iznik Ultra,160 K,Iznik,Turkey,2021-08-06,18:00:00,solo,149.4,2930.0,-3040.0,12.0,100.0
13,66003.0,KAT100,KAT100miles,Fieberbrunn,Austria,2021-08-05,18:00:00,solo,173.9,9980.0,-9980.0,15.0,170.0
14,71873.0,Alpindustria Elbrus Race,ElbrusWorldRace,Terskol,Russia,2021-07-30,00:00:00,solo,169.9,9010.0,-9010.0,0.0,120.0
15,69219.0,Burning River Endurance Run,Burning River 100 Mile,Hudson,United States,2021-07-24,04:00:00,solo,163.7,2700.0,-2700.0,14.0,250.0
16,68455.0,The Gax 100 miles,The Gax 100 miles,Ystad,Sweden,2021-07-24,00:00:00,solo,162.3,1510.0,-1510.0,3.0,75.0
17,68575.0,Terres Monviso,100 Miglia Monviso,Saluzzo,Italy,2021-07-23,21:00:00,solo,168.8,8380.0,-8380.0,17.0,300.0
18,69019.0,The Gax 100 miles,The Gax 100 miles Tuesday,Ystad,Sweden,2021-07-20,00:00:00,solo,162.3,1500.0,-1500.0,3.0,50.0
19,67244.0,Tahoe Rim Trail Endurance Runs 100M/50M/55K,100 Mile,Carsoncity,United States,2021-07-17,05:00:00,solo,161.1,6170.0,-6160.0,7.0,300.0
20,68776.0,Ultra Tour des 4 Massifs,Ut4M 160 Xtrem,Grenoble,France,2021-07-16,18:00:00,solo,179.1,11290.0,-11350.0,17.0,0.0
21,68778.0,Ultra Tour des 4 Massifs,Ut4M 160 Challenge,Grenoble,France,2021-07-15,08:00:00,solo,173.1,11810.0,-11710.0,12.0,0.0
22,67515.0,Brisbane Trail Ultra,Brisbane Trail Ultra 100 mile,Brisbane,Australia,2021-07-10,02:00:00,solo,160.5,7580.0,-7610.0,7.0,50.0
23,70168.0,Centurion Wendover Woods 100,Wendover Woods 100,Wendover,United Kingdom,2021-07-09,08:00:00,solo,168.0,6610.0,-6600.0,19.0,120.0
24,67118.0,Elephant Trail Race,160 Km (100 Mile),PortMacquarie,Australia,2021-07-09,20:00:00,solo,163.2,8650.0,-8630.0,13.0,100.0
25,67402.0,NUTS Ylläs Pallas,160K,Äkäslompolo,Finland,2021-07-09,12:00:00,solo,164.3,4020.0,-4100.0,8.0,250.0
26,71066.0,ULTRA 01,Ultra 01 170 KM,Oyonnax,France,2021-07-09,18:00:00,solo,174.9,7590.0,-7590.0,15.0,500.0
27,64191.0,Val d’Aran by UTMB®,VDA,Vielha,Spain,2021-07-09,18:00:00,solo,162.9,10690.0,-10690.0,14.0,1500.0
28,69065.0,Austria Backyard Ultra,24 LOOPS,Frankenmarkt,Austria,2021-07-03,09:00:00,solo,160.7,2570.0,-2570.0,24.0,200.0
29,68416.0,Western States Endurance Run,Western States Endurance Run,Auburn,United States,2021-06-26,05:00:00,solo,161.0,5850.0,-7360.0,20.0,369.0
30,69919.0,Jurassic Coast 100,Jurassic Coast 100M,Swanage,United Kingdom,2021-06-19,08:00:00,solo,168.2,4740.0,-4680.0,9.0,100.0
31,68874.0,Mohican 100 Trail Run,Mohican 100 Mile Trail Run,Loudonville,United States,2021-06-19,05:00:00,solo,158.9,3700.0,-3700.0,19.0,0.0
32,68354.0,Ultra Trail Gaspesia 100,100 miles,Percé,Canada,2021-06-19,05:00:00,solo,159.0,4130.0,-4130.0,21.0,40.0
33,70181.0,MARATON VIA TRANSILVANICA,VIA TRANSILVANICA ULTRAMARATON,PiatraFântânele,Romania,2021-06-18,18:00:00,solo,161.8,5410.0,-4950.0,8.0,50.0
34,71777.0,Oh Meu Deus,100 Milhas OMD,Seia,Portugal,2021-06-11,16:00:00,solo,159.2,7330.0,-7330.0,9.0,85.0
35,71778.0,Oh Meu Deus,OH MEU DEUS 160 TEAM,Seia,Portugal,2021-06-11,16:00:00,team,159.2,7330.0,-7330.0,9.0,5.0
36,69315.0,Salomon Hengill Ultra-Trail ©,100miles,Hveragerdi,Iceland,2021-06-04,14:00:00,solo,161.7,5530.0,-5550.0,10.0,200.0
37,64849.0,The Arctic Triple Lofoten Ultra-Trail®,100 Miles,SVOLVÆR,Norway,2021-06-04,12:00:00,solo,165.0,7046.0,-7047.0,10.0,150.0
38,69395.0,TransPenedaGerês,TPG 168k Race of the 4 Castles,Melgaço,Portugal,2021-06-03,16:00:00,solo,166.2,9360.0,-8540.0,6.0,0.0
39,63925.0,Chester Ultra 50,Chester Ultra 100,chester,United Kingdom,2021-05-29,06:00:00,solo,167.0,1540.0,-1550.0,10.0,150.0
40,67033.0,Grand Trail Des Lacs Et Chateaux (GTLC),GT160,Waimes,Belgium,2021-05-29,04:00:00,solo,165.3,6200.0,-6200.0,0.0,200.0
41,71209.0,WHW & Ben Nevis Race,WHW & Ben Nevis Race,FortWilliam,United Kingdom,2021-05-29,11:00:00,solo,165.4,5110.0,-5080.0,9.0,30.0
42,66105.0,Bryce Canyon,Bryce Canyon 100 Mile,Hatch,United States,2021-05-28,05:00:00,solo,157.1,4310.0,-4310.0,15.0,300.0
43,66840.0,Festiwal Biegowy ULTRA WAY,PORANEK NA PLAZY 160 km+,Rumia,Poland,2021-05-28,12:00:00,solo,163.3,3020.0,-3030.0,7.0,200.0
44,67410.0,NUTS Karhunkierros,166K,Kuusamo,Finland,2021-05-28,14:00:00,solo,169.6,3910.0,-3940.0,7.0,250.0
45,68605.0,Soria Moria til Verdens Ende,Soria Moria til Verdens Ende,VerdensEnde,Norway,2021-05-22,10:00:00,solo,163.0,4230.0,-4310.0,6.0,150.0
46,71293.0,Mac Mac Ultra,100m,Pretoria,South Africa,2021-05-21,12:00:00,solo,156.8,6300.0,-6540.0,14.0,0.0
47,65183.0,Ultra-Trail® Malopolska,UTM 170,KasinkaMala,Poland,2021-05-21,17:00:00,solo,171.8,8640.0,-8640.0,8.0,50.0
49,66949.0,Aktivitus Trailrace,Ultra-Trail®,Jonsered,Sweden,2021-05-13,20:00:00,solo,169.2,4060.0,-4060.0,9.0,50.0
